question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
ENG-0238,JAMB,English,Lexis and Structure,Idioms/Sentence Interpretation,medium,2025,,The boy accused his friend of putting a spoke in his wheel.,,He accused his friend of making jest of him,He accused his friend of spoiling his bicycle wheel,He accused his friend of destroying his move of getting a new wheel,He accused his friend of thwarting the execution of his plan,D,,jamb|2025,past-question,active
ENG-0239,JAMB,English,Lexis and Structure,Idioms/Sentence Interpretation,medium,2025,,"My boss is such a slave driver, I had to work two weekends in a row.",,He is a business owner who is very rich,He is a leader who is considerate,He is a taskmaster who overworks employees,He is a manager who is friendly,C,,jamb|2025,past-question,active
ENG-0240,JAMB,English,Lexis and Structure,Idioms/Sentence Interpretation,medium,2025,,"""Cinema, tonight?"" he asked. ""Maybe another time"", she replied.",,He asked her if she will go to the cinema and she vehemently declined it,He suggested taking her to a cinema tonight and she said probably another time,He suggested going to the cinema with her and she agreed,He asked to take her to a cinema tonight and she accepted,B,,jamb|2025,past-question,active
ENG-0241,JAMB,English,Lexis and Structure,Idioms/Sentence Interpretation,medium,2025,,Peter is a man of letters.,,Letter writing is his hobby,He likes to read a lot,He writes letters a lot,He is a great literary artist,D,,jamb|2025,past-question,active
ENG-0242,JAMB,English,Oral English,Vowel Sounds,medium,2025,,Which of the following words has the same vowel sound as the one represented by the underlined letters in the word 'boot'?,,cold,food,top,book,B,,jamb|2025,past-question,active
ENG-0243,JAMB,English,Oral English,Vowel Sounds,medium,2025,,Which of the following words has the same vowel sound as the one represented by the underlined letters in the word 'money'?,,love,lord,donkey,bought,A,,jamb|2025,past-question,active
ENG-0244,JAMB,English,Oral English,Vowel Sounds,medium,2025,,Which of the following words has the same vowel sound as the one represented by the underlined letters in the word 'beer'?,,bare,their,swear,serious,D,,jamb|2025,past-question,active
ENG-0245,JAMB,English,Oral English,Vowel Sounds,medium,2025,,Which of the following words has the same vowel sound as the one represented by the underlined letters in the word 'wound'?,,foot,book,blood,moon,D,,jamb|2025,past-question,active
ENG-0246,JAMB,English,Oral English,Consonant Sounds,medium,2025,,Which of the following words has the same consonant sound as the one represented by the underlined letters in the word 'chess'?,,soak,jazz,set,chain,D,,jamb|2025,past-question,active
ENG-0247,JAMB,English,Oral English,Consonant Sounds,medium,2025,,Which of the following words has the same consonant sound as the one represented by the underlined letters in the word 'house'?,,happy,rhythm,ghost,honour,A,,jamb|2025,past-question,active
ENG-0248,JAMB,English,Oral English,Consonant Sounds,medium,2025,,Which of the following words has the same consonant sound as the one represented by the underlined letters in the word 'shadow'?,,sure,match,chemistry,scheme,A,,jamb|2025,past-question,active
ENG-0249,JAMB,English,Oral English,Consonant Sounds,medium,2025,,Which of the following words has the same consonant sound as the one represented by the underlined letters in the word 'knot'?,,church,norm,keep,cease,B,,jamb|2025,past-question,active
ENG-0250,JAMB,English,Oral English,Rhyme,medium,2025,,Which of the following words rhymes with 'home'?,,come,groan,comb,horn,C,,jamb|2025,past-question,active
ENG-0251,JAMB,English,Oral English,Rhyme,medium,2025,,Which of the following words rhymes with 'time'?,,lime,nine,mine,mind,A,,jamb|2025,past-question,active
ENG-0252,JAMB,English,Oral English,Rhyme,medium,2025,,Which of the following words rhymes with 'cat'?,,call,bat,back,cut,B,,jamb|2025,past-question,active
ENG-0253,JAMB,English,Oral English,Word Stress,medium,2025,,Choose the option with the most appropriate stress pattern for the word 'similarly'.,,simiLARly,simlarLY,SImilarly,siMIlarly,C,,jamb|2025,past-question,active
ENG-0254,JAMB,English,Oral English,Word Stress,medium,2025,,Choose the option with the most appropriate stress pattern for the word 'convalescent'.,,CONvalescent,conVAlescent,convaleSCENT,convaLEscent,D,,jamb|2025,past-question,active
ENG-0255,JAMB,English,Oral English,Word Stress,medium,2025,,Choose the option with the most appropriate stress pattern for the word 'Grammarian'.,,GRAmmarian,graMMArian,grammaRIan,grammariAN,B,,jamb|2025,past-question,active
ENG-0256,JAMB,English,Oral English,Word Stress,medium,2025,,Choose the option with the most appropriate stress pattern for the word 'Hospitality'.,,HOSpitality,hosPItality,hospiTAlity,hospitaLIty,C,,jamb|2025,past-question,active
ENG-0257,JAMB,English,Oral English,Emphatic Stress,medium,2025,,The word in capital letters has emphatic stress. Choose the option to which the sentence relates: They came with me to the MEETING.,,Did they come to a meeting with me?,Did they arrive with me to the meeting?,Did they come with me to the party?,Who came with me to the meeting?,C,,jamb|2025,past-question,active
ENG-0258,JAMB,English,Oral English,Emphatic Stress,medium,2025,,The word in capital letters has emphatic stress. Choose the option to which the sentence relates: The woman was delivered of a baby BOY.,,Was the girl delivered of a baby girl?,Was the woman delivered of two baby boys?,Was the woman delivered of a baby girl?,Was the girl delivered of a baby boy?,C,,jamb|2025,past-question,active
ENG-0259,JAMB,English,Oral English,Emphatic Stress,medium,2025,,The word in capital letters has emphatic stress. Choose the option to which the sentence relates: A HAWKER showed him the way to the park.,,Did a hawker show him the way to the street?,Did a trader show him the way to the park?,Did the hawker show her the way to the park?,Did the hawker show him the way to the park?,B,,jamb|2025,past-question,active
ENG-0260,JAMB,English,Oral English,Emphatic Stress,medium,2025,,The word in capital letters has emphatic stress. Choose the option to which the sentence relates: The doctor examined the patient with a STETHOSCOPE.,,Did the doctor examine the matron with a stethoscope?,Did the nurse examine the patient with a stethoscope?,Did the doctor examine the patient with a microscope?,Did the doctor cure the patient with a stethoscope?,C,,jamb|2025,past-question,active
PHY-0003,JAMB,Physics,Optics,Electromagnetic Spectrum,easy,2025,,Which of these colours in the visible spectrum has the longest wavelength?,,Red,Blue,Yellow,Violet,A,,jamb|2025,past-question,active
PHY-0004,JAMB,Physics,Optics,Lenses,easy,2025,,The power of a lens in diopters is,,\(3f\),\(\frac{1}{f}\),\(2f\),\(f\),B,,jamb|2025,past-question,active
PHY-0005,JAMB,Physics,Mechanics,Vectors,medium,2025,,A man moves \(6.0\text{m}\) East and then \(10.0\text{m}\) \(N30^\circ E\). How far is he from his starting point?,,\(15.0\text{m}\),\(17.0\text{m}\),\(14.0\text{m}\),\(12.0\text{m}\),C,,jamb|2025,past-question,active
PHY-0006,JAMB,Physics,Heat/Thermodynamics,Change of State,medium,2025,,The density of water is \(1\text{g/cm}^3\) while that of ice is \(0.9\text{g/cm}^3\). Calculate the change in volume when \(90\text{g}\) of ice is completely melted.,,\(9\text{cm}^3\),\(90\text{cm}^3\),\(0\text{cm}^3\),\(10\text{cm}^3\),D,,jamb|2025,past-question,active
PHY-0007,JAMB,Physics,Heat/Thermodynamics,Gas Laws,easy,2025,,"The graphical representation of the pressure law is always a straight line passing through the origin, only if the temperature scale is",,Rankine,Celsius,Fahrenheit,thermodynamic,D,,jamb|2025,past-question,active
PHY-0008,JAMB,Physics,Heat/Thermodynamics,Kinetic Theory of Gases,medium,2025,,"According to the kinetic theory of gases, the pressure exerted by a gas on the walls equals.",,Momentum imparted to the walls per unit area.,Change in momentum per unit volume.,Change in momentum imparted to the walls per unit area.,Rate of change of momentum imparted to the walls per second per unit area.,D,,jamb|2025,past-question,active
PHY-0009,JAMB,Physics,Waves,Mechanical Waves,easy,2025,,Which of the following is not true about a wave in a plucked string?,,It is mechanical,It has a crest,It is transverse,It is longitudinal,D,,jamb|2025,past-question,active
PHY-0010,JAMB,Physics,Electricity,EMF,easy,2025,,The emf of a cell is the potential difference across its terminals when it is in,,series connection,closed circuit,open circuit,parallel connection,C,,jamb|2025,past-question,active
PHY-0011,JAMB,Physics,Heat/Thermodynamics,Thermometry,easy,2025,,The thermometric property of mercury is best on the change in,,density with temperature,volume with temperature,pressure with temperature,resistance with temperature,B,,jamb|2025,past-question,active
PHY-0012,JAMB,Physics,Optics,Human Eye,easy,2025,,Some of the features of the human eye that greatly help to refract light entering the eyes are,,cornea and lens,cornea and aqueous humor,lens and vitreous humor,aqueous humor and lens,A,,jamb|2025,past-question,active
PHY-0013,JAMB,Physics,Optics,Measurement/Parallax,easy,2025,,"When both the object and its image move together in the same direction relative to the observer, then there is",,no parallax error,blurred image,mechanical error,parallax error,A,,jamb|2025,past-question,active
PHY-0014,JAMB,Physics,Magnetism,Magnetic Field Patterns,medium,2025,,The diagram above shows a magnetic field due to a,,solenoid,circular coil,current-carrying straight conductor,the earth's meridian,C,,jamb|2025,past-question,active
PHY-0015,JAMB,Physics,Optics,Dispersion,medium,2025,,"I. The colour of light depends on its frequency II. When white light is dispersed by a triangular prism, yellow is deviated more than green III. Rainbows are formed when rains fall heavily. Which of the above statements is/are correct about dispersion and colours?",,I and III only,I only,II and III only,I and II only,B,,jamb|2025,past-question,active
PHY-0016,JAMB,Physics,Mechanics,Friction,medium,2025,,A Force \(18\text{N}\) pulls a \(40\text{kg}\) mass on a horizontal floor at \(0.3\text{ms}^{-2}\). Find the coefficient of friction.,,0.003,0.015,0.300,0.600,B,,jamb|2025,past-question,active
PHY-0017,JAMB,Physics,Electricity,Power,easy,2025,,A \(500\text{W}\) electric oven plugged into a \(220\text{V}\) source will consume an electric current of,,\(4.88\text{A}\),\(2.27\text{A}\),\(6.43\text{A}\),\(3.23\text{A}\),B,,jamb|2025,past-question,active
PHY-0018,JAMB,Physics,Mechanics,Hydraulics,medium,2025,,"A hydraulic press consists of two cylinders of cross-sectional radius \(r_1\) and \(r_2\). If a force of \(200\text{N}\) applied to the smaller piston (\(r_1\)), causes a force of \(3200\text{N}\) to be transmitted onto the larger piston (\(r_2\)). The ratio \(r_1:r_2\) is?",,\(1:4\),\(1:2\),\(1:8\),\(1:16\),A,,jamb|2025,past-question,active
PHY-0019,JAMB,Physics,Mechanics,Gravitation,medium,2025,,The gravitational pull between two bodies is \(20\text{N}\). Find the gravitational pull when their distance of separation is doubled.,,\(10\text{N}\),\(5\text{N}\),\(13\text{N}\),\(20\text{N}\),B,,jamb|2025,past-question,active
PHY-0020,JAMB,Physics,Heat/Thermodynamics,Thermal Expansion,medium,2025,,"The volume of a \(1\text{cm}^3\) metal ball increases by \(0.0018\text{cm}^3\) when heated through temperature \(\theta\). If the linear expansivity of the ball is \(2.0\times10^{-5}\text{K}^{-1}\), find \(\theta\).",,\(20^\circ\text{C}\),\(50^\circ\text{C}\),\(30^\circ\text{C}\),\(25^\circ\text{C}\),C,,jamb|2025,past-question,active
PHY-0021,JAMB,Physics,Heat/Thermodynamics,Gas Laws,easy,2025,,"For a gas, which pair of variables is inversely proportional to each other (provided other conditions are constant), where \(P\) = pressure, \(T\) = temperature, \(V\) = volume, and \(n\) = number of molecules?",,"\(P, T\)","\(P, V\)","\(n, P\)","\(V, T\)",B,,jamb|2025,past-question,active
PHY-0022,JAMB,Physics,Mechanics,"Work, Energy and Power",easy,2025,,A boy uses a single string pulley system to lift a mass of \(20\text{kg}\) moving with a velocity of \(5\text{ms}^{-1}\). What is the power developed by the boy if \(g=10\text{ms}^{-2}\)?,,\(100\text{W}\),\(1000\text{W}\),\(250\text{W}\),\(40\text{W}\),B,,jamb|2025,past-question,active
